title,url,platform,content_type
Naagin,https://www.justwatch.com/in/tv-show/naagin,JioHotstar,show
Tensei Shitara Suraimu Datta Ken,https://www.justwatch.com/in/tv-show/that-time-i-got-reincarnated-as-a-slime,JioHotstar,show
Modern Family,https://www.justwatch.com/in/tv-show/modern-family,JioHotstar,show
Law & Order: Special Victims Unit,https://www.justwatch.com/in/tv-show/law-and-order-special-victims-unit,JioHotstar,show
Yellowstone,https://www.justwatch.com/in/tv-show/yellowstone,JioHotstar,show
Inspector Avinash,https://www.justwatch.com/in/tv-show/inspector-avinash,JioHotstar,show
Seher Hone Ko Hai,https://www.justwatch.com/in/tv-show/seher-hone-ko-hai,JioHotstar,show
Tôkyô Ribenjâzu,https://www.justwatch.com/in/tv-show/tokyo-revengers,JioHotstar,show
Under the Dome,https://www.justwatch.com/in/tv-show/under-the-dome,JioHotstar,show
Succession,https://www.justwatch.com/in/tv-show/succession,JioHotstar,show
Mahabharatham,https://www.justwatch.com/in/tv-show/mahabharatham,JioHotstar,show
X-Men '97,https://www.justwatch.com/in/tv-show/x-men-97,JioHotstar,show
Dexter,https://www.justwatch.com/in/tv-show/dexter,JioHotstar,show
My Hero Academia,https://www.justwatch.com/in/tv-show/my-hero-academia,JioHotstar,show
Heroes,https://www.justwatch.com/in/tv-show/heroes,JioHotstar,show
Georgie & Mandy's First Marriage,https://www.justwatch.com/in/tv-show/georgie-and-mandys-first-marriage,JioHotstar,show
Supernatural,https://www.justwatch.com/in/tv-show/supernatural,JioHotstar,show
The Wire,https://www.justwatch.com/in/tv-show/the-wire,JioHotstar,show
Chiraiya,https://www.justwatch.com/in/tv-show/chiraiya,JioHotstar,show
Big Mouth,https://www.justwatch.com/in/tv-show/big-mouth-2022,JioHotstar,show
Marvel's Daredevil,https://www.justwatch.com/in/tv-show/marvels-daredevil,JioHotstar,show
Young Sheldon,https://www.justwatch.com/in/tv-show/young-sheldon,JioHotstar,show
Peacemaker,https://www.justwatch.com/in/tv-show/peacemaker,JioHotstar,show
The Beauty,https://www.justwatch.com/in/tv-show/the-beauty,JioHotstar,show
The Pitt,https://www.justwatch.com/in/tv-show/the-pitt,JioHotstar,show
The Sopranos,https://www.justwatch.com/in/tv-show/the-sopranos,JioHotstar,show
Oz,https://www.justwatch.com/in/tv-show/oz,JioHotstar,show
How I Met Your Mother,https://www.justwatch.com/in/tv-show/how-i-met-your-mother,JioHotstar,show
Loki,https://www.justwatch.com/in/tv-show/loki,JioHotstar,show
Shōgun,https://www.justwatch.com/in/tv-show/shogun-2024,JioHotstar,show
Hostages,https://www.justwatch.com/in/tv-show/hostages-2019,JioHotstar,show
SPY x FAMILY,https://www.justwatch.com/in/tv-show/spy-x-family,JioHotstar,show
Banshee,https://www.justwatch.com/in/tv-show/banshee,JioHotstar,show
Light Shop,https://www.justwatch.com/in/tv-show/light-shop,JioHotstar,show
Haikyu!!,https://www.justwatch.com/in/tv-show/haikyu,JioHotstar,show
Paradise,https://www.justwatch.com/in/tv-show/paradise-2025,JioHotstar,show
Landman,https://www.justwatch.com/in/tv-show/landman,JioHotstar,show
The Last of Us,https://www.justwatch.com/in/tv-show/the-last-of-us,JioHotstar,show
The Office,https://www.justwatch.com/in/tv-show/the-office,JioHotstar,show
Sex and the City,https://www.justwatch.com/in/tv-show/sex-and-the-city,JioHotstar,show
The Big Bang Theory,https://www.justwatch.com/in/tv-show/the-big-bang-theory,JioHotstar,show
Malcolm in the Middle,https://www.justwatch.com/in/tv-show/malcolm-in-the-middle,JioHotstar,show
Special Ops,https://www.justwatch.com/in/tv-show/special-ops,JioHotstar,show
Save the Tigers,https://www.justwatch.com/in/tv-show/save-the-tigers,JioHotstar,show
The Worst of Evil,https://www.justwatch.com/in/tv-show/the-worst-of-evil,JioHotstar,show
Numb3rs,https://www.justwatch.com/in/tv-show/numb3rs,JioHotstar,show
Mr. Robot,https://www.justwatch.com/in/tv-show/mr-robot,JioHotstar,show
Mansion 24,https://www.justwatch.com/in/tv-show/mansion-24,JioHotstar,show
Swaragini,https://www.justwatch.com/in/tv-show/swaragini,JioHotstar,show
The Flash,https://www.justwatch.com/in/tv-show/the-flash,JioHotstar,show
Mubing,https://www.justwatch.com/in/tv-show/moving,JioHotstar,show
Marvel's The Punisher,https://www.justwatch.com/in/tv-show/marvels-the-punisher,JioHotstar,show
IT: Welcome to Derry,https://www.justwatch.com/in/tv-show/welcome-to-derry,JioHotstar,show
Cooku with Comali,https://www.justwatch.com/in/tv-show/cooku-with-comali,JioHotstar,show
Muthu Alias Kaattaan,https://www.justwatch.com/in/tv-show/muthu-alias-kaattaan,JioHotstar,show
Mayor of Kingstown,https://www.justwatch.com/in/tv-show/mayor-of-kingstown,JioHotstar,show
High Potential,https://www.justwatch.com/in/tv-show/high-potential,JioHotstar,show
Hacks,https://www.justwatch.com/in/tv-show/hacks,JioHotstar,show
1923,https://www.justwatch.com/in/tv-show/1923,JioHotstar,show
The White Lotus,https://www.justwatch.com/in/tv-show/the-white-lotus,JioHotstar,show
Brooklyn Nine-Nine,https://www.justwatch.com/in/tv-show/brooklyn-nine-nine,JioHotstar,show
The Americans,https://www.justwatch.com/in/tv-show/the-americans,JioHotstar,show
The Manipulated,https://www.justwatch.com/in/tv-show/the-manipulated,JioHotstar,show
Family Guy,https://www.justwatch.com/in/tv-show/family-guy,JioHotstar,show
Billions,https://www.justwatch.com/in/tv-show/billions,JioHotstar,show
Bepannah,https://www.justwatch.com/in/tv-show/bepannaah,JioHotstar,show
Band of Brothers,https://www.justwatch.com/in/tv-show/band-of-brothers,JioHotstar,show
Industry,https://www.justwatch.com/in/tv-show/industry,JioHotstar,show
La Brea,https://www.justwatch.com/in/tv-show/la-brea,JioHotstar,show
Tulsa King,https://www.justwatch.com/in/tv-show/tulsa-king,JioHotstar,show
